N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.296000E+11 4.500E+16 333 1.700E-4 1.303253218E+00 1.309611008E+00 1.239203231E+00 1.243122251E+00
1.520000E+11 4.500E+16 333 1.700E-4 1.304481534E+00 1.309943714E+00 1.241097328E+00 1.244429294E+00
1.781000E+11 4.500E+16 333 1.700E-4 1.305633616E+00 1.310322212E+00 1.243027469E+00 1.245857725E+00
2.088000E+11 4.500E+16 333 1.700E-4 1.306729431E+00 1.310750994E+00 1.245003350E+00 1.247405483E+00
2.447000E+11 4.500E+16 333 1.700E-4 1.307787108E+00 1.311234483E+00 1.247030059E+00 1.249067530E+00
2.868000E+11 4.500E+16 333 1.700E-4 1.308822931E+00 1.311776874E+00 1.249107956E+00 1.250835314E+00
3.362000E+11 4.500E+16 333 1.700E-4 1.309851323E+00 1.312381958E+00 1.251233048E+00 1.252697180E+00
3.940000E+11 4.500E+16 333 1.700E-4 1.310884869E+00 1.313052996E+00 1.253397456E+00 1.254638619E+00
4.618000E+11 4.500E+16 333 1.700E-4 1.311934226E+00 1.313792446E+00 1.255590190E+00 1.256642798E+00
5.413000E+11 4.500E+16 333 1.700E-4 1.313008163E+00 1.314601907E+00 1.257798013E+00 1.258691489E+00
6.345000E+11 4.500E+16 333 1.700E-4 1.314113459E+00 1.315481920E+00 1.260006591E+00 1.260765980E+00
7.437000E+11 4.500E+16 333 1.700E-4 1.315255085E+00 1.316431960E+00 1.262201521E+00 1.262848125E+00
8.717000E+11 4.500E+16 333 1.700E-4 1.316436180E+00 1.317450419E+00 1.264369342E+00 1.264921172E+00
1.022000E+12 4.500E+16 333 1.700E-4 1.317658264E+00 1.318534666E+00 1.266498357E+00 1.266970650E+00
1.198000E+12 4.500E+16 333 1.700E-4 1.318921475E+00 1.319681216E+00 1.268579197E+00 1.268984771E+00
1.404000E+12 4.500E+16 333 1.700E-4 1.320224799E+00 1.320885931E+00 1.270605193E+00 1.270954784E+00
1.645000E+12 4.500E+16 333 1.700E-4 1.321566391E+00 1.322144217E+00 1.272572382E+00 1.272874994E+00
1.928000E+12 4.500E+16 333 1.700E-4 1.322943836E+00 1.323451317E+00 1.274479323E+00 1.274742452E+00
2.260000E+12 4.500E+16 333 1.700E-4 1.324354483E+00 1.324802530E+00 1.276326879E+00 1.276556771E+00
2.649000E+12 4.500E+16 333 1.700E-4 1.325795698E+00 1.326193460E+00 1.278117712E+00 1.278319577E+00
3.105000E+12 4.500E+16 333 1.700E-4 1.327265037E+00 1.327620168E+00 1.279855915E+00 1.280034100E+00
3.639000E+12 4.500E+16 333 1.700E-4 1.328760482E+00 1.329079369E+00 1.281546610E+00 1.281704708E+00
4.266000E+12 4.500E+16 333 1.700E-4 1.330280537E+00 1.330568464E+00 1.283195526E+00 1.283336540E+00
5.000000E+12 4.500E+16 333 1.700E-4 1.331824278E+00 1.332085630E+00 1.284808778E+00 1.284935215E+00
5.000000E+10 7.000E+15 297 1.700E-4 1.239897940E+00 1.241965576E+00 1.210003383E+00 1.211739014E+00
5.861000E+10 7.000E+15 297 1.700E-4 1.240254734E+00 1.242041887E+00 1.210319101E+00 1.211817389E+00
6.869000E+10 7.000E+15 297 1.700E-4 1.240587234E+00 1.242130803E+00 1.210615959E+00 1.211908715E+00
8.051000E+10 7.000E+15 297 1.700E-4 1.240901793E+00 1.242234320E+00 1.210899926E+00 1.212015055E+00
9.437000E+10 7.000E+15 297 1.700E-4 1.241204643E+00 1.242354694E+00 1.211176851E+00 1.212138735E+00
1.106000E+11 7.000E+15 297 1.700E-4 1.241501945E+00 1.242494504E+00 1.211452529E+00 1.212282411E+00
1.296000E+11 7.000E+15 297 1.700E-4 1.241799804E+00 1.242656647E+00 1.211732747E+00 1.212449074E+00
1.520000E+11 7.000E+15 297 1.700E-4 1.242104334E+00 1.242844397E+00 1.212046563E+00 1.212674219E+00
1.781000E+11 7.000E+15 297 1.700E-4 1.242421690E+00 1.243061387E+00 1.212354912E+00 1.212897265E+00
2.088000E+11 7.000E+15 297 1.700E-4 1.242758124E+00 1.243311647E+00 1.212685089E+00 1.213154548E+00
2.447000E+11 7.000E+15 297 1.700E-4 1.243119995E+00 1.243599600E+00 1.213059686E+00 1.213471086E+00
2.868000E+11 7.000E+15 297 1.700E-4 1.243513805E+00 1.243930054E+00 1.213451847E+00 1.213808847E+00
3.362000E+11 7.000E+15 297 1.700E-4 1.243946189E+00 1.244308174E+00 1.213886724E+00 1.214197447E+00
3.940000E+11 7.000E+15 297 1.700E-4 1.244423903E+00 1.244739436E+00 1.214366024E+00 1.214636844E+00
4.618000E+11 7.000E+15 297 1.700E-4 1.244953781E+00 1.245229565E+00 1.214912750E+00 1.215151661E+00
5.413000E+11 7.000E+15 297 1.700E-4 1.245542652E+00 1.245784435E+00 1.215508881E+00 1.215718426E+00
6.345000E+11 7.000E+15 297 1.700E-4 1.246197268E+00 1.246409964E+00 1.216169388E+00 1.216353772E+00
7.437000E+11 7.000E+15 297 1.700E-4 1.246924145E+00 1.247111972E+00 1.216905327E+00 1.217068283E+00
