N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.468000E+10 1.000E+15 315 1.500E-4 1.016341640E+00 1.017347900E+00 1.162738111E+00 1.164203750E+00
2.154000E+10 1.000E+15 315 1.500E-4 1.016640902E+00 1.017340699E+00 1.163290344E+00 1.164299137E+00
3.162000E+10 1.000E+15 315 1.500E-4 1.016846630E+00 1.017330494E+00 1.163745614E+00 1.164438448E+00
4.642000E+10 1.000E+15 315 1.500E-4 1.016982991E+00 1.017316287E+00 1.164166206E+00 1.164641477E+00
6.813000E+10 1.000E+15 315 1.500E-4 1.017067982E+00 1.017297054E+00 1.164610424E+00 1.164936348E+00
1.000000E+11 1.000E+15 315 1.500E-4 1.017114894E+00 1.017272198E+00 1.165138903E+00 1.165362561E+00
1.468000E+11 1.000E+15 315 1.500E-4 1.017134543E+00 1.017242615E+00 1.165820527E+00 1.165974272E+00
2.154000E+11 1.000E+15 315 1.500E-4 1.017138585E+00 1.017212989E+00 1.166737302E+00 1.166843329E+00
3.162000E+11 1.000E+15 315 1.500E-4 1.017144709E+00 1.017196158E+00 1.167986613E+00 1.168060102E+00
4.642000E+11 1.000E+15 315 1.500E-4 1.017184660E+00 1.017220515E+00 1.169677509E+00 1.169728849E+00
6.813000E+11 1.000E+15 315 1.500E-4 1.017315213E+00 1.017340533E+00 1.171916118E+00 1.171952413E+00
1.000000E+12 1.000E+15 315 1.500E-4 1.017629543E+00 1.017647800E+00 1.174775206E+00 1.174801303E+00
1.468000E+12 1.000E+15 315 1.500E-4 1.026536677E+00 1.026514953E+00 1.178249259E+00 1.178268453E+00
2.154000E+12 1.000E+15 315 1.500E-4 1.061308478E+00 1.061297028E+00 1.182212893E+00 1.182227413E+00
3.162000E+12 1.000E+15 315 1.500E-4 1.091415383E+00 1.091410553E+00 1.186420493E+00 1.186431816E+00
4.642000E+12 1.000E+15 315 1.500E-4 1.114950270E+00 1.114949220E+00 1.190580627E+00 1.190589720E+00
6.813000E+12 1.000E+15 315 1.500E-4 1.132362818E+00 1.132363640E+00 1.194476214E+00 1.194483690E+00
1.000000E+13 1.000E+15 315 1.500E-4 1.145275551E+00 1.145277147E+00 1.198046573E+00 1.198052835E+00
1.000000E+10 1.000E+15 320 1.500E-4 1.018240219E+00 1.020000028E+00 1.110644013E+00 1.111398640E+00
1.468000E+10 1.000E+15 320 1.500E-4 1.018745715E+00 1.019981215E+00 1.111045049E+00 1.111540220E+00
2.154000E+10 1.000E+15 320 1.500E-4 1.019094451E+00 1.019953869E+00 1.111419263E+00 1.111747344E+00
3.162000E+10 1.000E+15 320 1.500E-4 1.019320469E+00 1.019914301E+00 1.111830446E+00 1.112049937E+00
4.642000E+10 1.000E+15 320 1.500E-4 1.019449087E+00 1.019857435E+00 1.112342794E+00 1.112491013E+00
6.813000E+10 1.000E+15 320 1.500E-4 1.019496705E+00 1.019776522E+00 1.113030849E+00 1.113131870E+00
