N_Fe N_B T d n_Fe n_Fe_SRH n_FeB n_FeB_SRH
1.000000E+11 1.000E+15 330 1.900E-4 1.031648361E+00 1.031968676E+00 1.014508574E+00 1.014720468E+00
1.468000E+11 1.000E+15 330 1.900E-4 1.030948953E+00 1.031164101E+00 1.014553803E+00 1.014699466E+00
2.154000E+11 1.000E+15 330 1.900E-4 1.029940010E+00 1.030083378E+00 1.014574799E+00 1.014674994E+00
3.162000E+11 1.000E+15 330 1.900E-4 1.028594390E+00 1.028689042E+00 1.014582657E+00 1.014651739E+00
4.642000E+11 1.000E+15 330 1.900E-4 1.026930137E+00 1.026992006E+00 1.014594119E+00 1.014641973E+00
6.813000E+11 1.000E+15 330 1.900E-4 1.025054821E+00 1.025094934E+00 1.014638783E+00 1.014672205E+00
1.000000E+12 1.000E+15 330 1.900E-4 1.023202437E+00 1.023228429E+00 1.014768971E+00 1.014792630E+00
1.468000E+12 1.000E+15 330 1.900E-4 1.021722777E+00 1.021739893E+00 1.015069640E+00 1.015086743E+00
2.154000E+12 1.000E+15 330 1.900E-4 1.020987783E+00 1.020999535E+00 1.015662315E+00 1.015675066E+00
3.162000E+12 1.000E+15 330 1.900E-4 1.021244956E+00 1.021253574E+00 1.016694735E+00 1.016704635E+00
4.642000E+12 1.000E+15 330 1.900E-4 1.022532095E+00 1.022538897E+00 1.032131842E+00 1.032137323E+00
6.813000E+12 1.000E+15 330 1.900E-4 1.024735864E+00 1.024741568E+00 1.052599596E+00 1.052608906E+00
1.000000E+13 1.000E+15 330 1.900E-4 1.027726991E+00 1.027731972E+00 1.067184785E+00 1.067195500E+00
1.000000E+10 1.000E+15 340 1.900E-4 1.059500240E+00 1.067464889E+00 1.021492569E+00 1.024745635E+00
1.468000E+10 1.000E+15 340 1.900E-4 1.061640799E+00 1.067290512E+00 1.022403416E+00 1.024720532E+00
2.154000E+10 1.000E+15 340 1.900E-4 1.063080452E+00 1.067036259E+00 1.023055185E+00 1.024683891E+00
3.162000E+10 1.000E+15 340 1.900E-4 1.063924695E+00 1.066666690E+00 1.023496894E+00 1.024630555E+00
4.642000E+10 1.000E+15 340 1.900E-4 1.064246567E+00 1.066131922E+00 1.023769783E+00 1.024553214E+00
6.813000E+10 1.000E+15 340 1.900E-4 1.064075827E+00 1.065363183E+00 1.023903184E+00 1.024441700E+00
1.000000E+11 1.000E+15 340 1.900E-4 1.063395442E+00 1.064268612E+00 1.023913599E+00 1.024282247E+00
1.468000E+11 1.000E+15 340 1.900E-4 1.062143519E+00 1.062731472E+00 1.023805500E+00 1.024057015E+00
2.154000E+11 1.000E+15 340 1.900E-4 1.060222761E+00 1.060615225E+00 1.023573430E+00 1.023744518E+00
3.162000E+11 1.000E+15 340 1.900E-4 1.057523951E+00 1.057783041E+00 1.023206140E+00 1.023322195E+00
4.642000E+11 1.000E+15 340 1.900E-4 1.053973133E+00 1.054141758E+00 1.022694731E+00 1.022773252E+00
6.813000E+11 1.000E+15 340 1.900E-4 1.049609614E+00 1.049717437E+00 1.022047033E+00 1.022100060E+00
1.000000E+12 1.000E+15 340 1.900E-4 1.044685401E+00 1.044752999E+00 1.021309679E+00 1.021345497E+00
